267,389626.995069
272,389627.191070
278,389627.430479
280,389627.461660
366,389631.881072
401,389633.589049
407,389633.832063
413,389634.090586
418,389634.285069
422,389634.437165
437,389635.133072
439,389635.170348
445,389635.432085
447,389635.469707
449,389635.533425
450,389635.541995
453,389635.633074
454,389635.633096
458,389635.788901
480,389636.835276
485,389637.041049
486,389637.041076
487,389637.041085
488,389637.041093
682,389647.702757
747,389650.907040
751,389651.026446
762,389651.552062
781,389652.411948
782,389652.432569
786,389652.604065
789,389652.712063
845,389655.456767
847,389655.486006
849,389655.563244
851,389655.613276
908,389658.406049
949,389660.406048
951,389660.464884
961,389660.906049
963,389660.953033
964,389660.959915
968,389661.108787
972,389661.256058
973,389661.256083
1018,389663.416709
1019,389663.416735
1175,389671.578067
1176,389671.578098
1181,389671.731185
1182,389671.767140
1298,389677.563029
1331,389679.207070
1333,389679.219566
1334,389679.234722
1354,389680.212072
1356,389680.242941
1363,389680.558049
1368,389680.728508
1372,389680.909918
1375,389680.973385
1376,389680.980727
1404,389682.356062
1405,389682.356106
1407,389682.411169
1479,389686.099161
1483,389686.252060
