0,0,1919143.350351,0.025075,1919143.350417,1919143.350424,1919143.375500
0,2,1919143.434436,0.011004,1919143.438034,1919143.438091,1919143.449095
1,1,1919143.396216,0.080083,1919143.396266,1919143.396317,1919143.476401
0,3,1919143.495105,0.073100,1919143.495123,1919143.495166,1919143.568267
1,6,1919143.529730,0.036016,1919143.537030,1919143.537079,1919143.573095
0,4,1919143.505340,0.040368,1919143.537023,1919143.568343,1919143.608712
1,5,1919143.513492,0.049560,1919143.537028,1919143.573115,1919143.622675
1,8,1919143.617146,0.063168,1919143.617172,1919143.622745,1919143.685913
1,13,1919143.654668,0.005760,1919143.684067,1919143.685962,1919143.691721
1,14,1919143.658149,0.012311,1919143.684069,1919143.691729,1919143.704040
1,10,1919143.646291,0.013912,1919143.684062,1919143.704067,1919143.717980
0,7,1919143.541087,0.123963,1919143.541106,1919143.608739,1919143.732702
1,12,1919143.650403,0.025620,1919143.684066,1919143.718009,1919143.743630
0,9,1919143.642419,0.046693,1919143.642477,1919143.732733,1919143.779427
1,11,1919143.646707,0.081527,1919143.684065,1919143.743672,1919143.825199
1,16,1919143.847049,0.017551,1919143.871043,1919143.871104,1919143.888655
0,15,1919143.829031,0.091352,1919143.829078,1919143.829106,1919143.920458
1,17,1919143.870778,0.037147,1919143.871062,1919143.888722,1919143.925870
0,19,1919143.913187,0.073780,1919143.920482,1919143.920492,1919143.994272
0,22,1919143.953344,0.021729,1919143.967161,1919143.994289,1919144.016018
0,25,1919144.004729,0.004499,1919144.016033,1919144.016035,1919144.020534
0,20,1919143.921845,0.073465,1919143.925941,1919144.020544,1919144.094010
0,28,1919144.083990,0.001011,1919144.084050,1919144.094021,1919144.095033
0,29,1919144.085658,0.003259,1919144.085708,1919144.095039,1919144.098298
1,18,1919143.896161,0.180181,1919143.896178,1919143.925932,1919144.106113
0,27,1919144.028747,0.021454,1919144.065069,1919144.098303,1919144.119757
1,26,1919144.023399,0.054417,1919144.023408,1919144.106143,1919144.160560
0,31,1919144.107785,0.095164,1919144.107834,1919144.119763,1919144.214927
0,35,1919144.203431,0.002004,1919144.207032,1919144.214940,1919144.216944
0,32,1919144.165923,0.038800,1919144.165974,1919144.216950,1919144.255750
1,21,1919143.940555,0.111064,1919143.967154,1919144.160617,1919144.271681
0,34,1919144.185463,0.055089,1919144.207020,1919144.255778,1919144.310868
1,37,1919144.236813,0.063819,1919144.236878,1919144.271708,1919144.335527
1,39,1919144.312005,0.021852,1919144.312056,1919144.335592,1919144.357443
1,40,1919144.337557,0.009075,1919144.337610,1919144.357506,1919144.366581
0,38,1919144.303632,0.067073,1919144.303685,1919144.310884,1919144.377957
1,33,1919144.173698,0.071408,1919144.207018,1919144.366588,1919144.437995
1,42,1919144.381207,0.020049,1919144.381257,1919144.438077,1919144.458127
0,41,1919144.366683,0.106045,1919144.366738,1919144.377971,1919144.484015
1,44,1919144.431946,0.058025,1919144.438103,1919144.458205,1919144.516230
0,45,1919144.442739,0.044414,1919144.458244,1919144.484036,1919144.528451
0,46,1919144.521112,0.097835,1919144.521279,1919144.528466,1919144.626302
1,43,1919144.425416,0.111921,1919144.425477,1919144.516348,1919144.628269
0,50,1919144.604047,0.012156,1919144.604111,1919144.626320,1919144.638476
1,48,1919144.562460,0.084307,1919144.562507,1919144.628293,1919144.712600
0,49,1919144.575200,0.120940,1919144.604104,1919144.638483,1919144.759423
0,54,1919144.725219,0.016499,1919144.753092,1919144.759435,1919144.775934
0,55,1919144.749389,0.018369,1919144.753113,1919144.775941,1919144.794310
0,56,1919144.787939,0.012816,1919144.787994,1919144.794316,1919144.807132
1,52,1919144.695593,0.106458,1919144.695633,1919144.712671,1919144.819129
0,57,1919144.802779,0.016164,1919144.802824,1919144.807139,1919144.823303
1,58,1919144.807995,0.026936,1919144.808048,1919144.819152,1919144.846088
0,53,1919144.699597,0.028278,1919144.712695,1919144.823310,1919144.851588
1,60,1919144.832999,0.006738,1919144.833027,1919144.846152,1919144.852890
0,61,1919144.835748,0.071455,1919144.846161,1919144.851602,1919144.923057
1,59,1919144.828337,0.118652,1919144.828388,1919144.852953,1919144.971606
1,63,1919144.957457,0.024160,1919144.957505,1919144.971671,1919144.995831
1,64,1919144.986318,0.022996,1919144.986391,1919144.995881,1919145.018877
0,23,1919143.961679,0.125682,1919143.967176,1919144.923070,1919145.048752
0,65,1919145.020995,0.013215,1919145.021070,1919145.048771,1919145.061987
0,66,1919145.029743,0.014013,1919145.029787,1919145.062030,1919145.076044
0,67,1919145.051711,0.065866,1919145.051754,1919145.076058,1919145.141925
1,51,1919144.620532,0.126367,1919144.620611,1919145.018906,1919145.145273
0,72,1919145.067012,0.013726,1919145.076095,1919145.141944,1919145.155670
1,71,1919145.065656,0.036862,1919145.076095,1919145.145296,1919145.182158
1,77,1919145.166609,0.004073,1919145.166654,1919145.182216,1919145.186290
1,76,1919145.164118,0.007246,1919145.164192,1919145.186345,1919145.193591
1,78,1919145.184987,0.011449,1919145.185044,1919145.193652,1919145.205101
0,73,1919145.071865,0.065961,1919145.076097,1919145.155686,1919145.221647
1,69,1919145.059223,0.068339,1919145.062051,1919145.205157,1919145.273496
1,81,1919145.223615,0.008587,1919145.223677,1919145.273547,1919145.282134
0,80,1919145.202304,0.070444,1919145.202391,1919145.221661,1919145.292105
1,82,1919145.224984,0.011428,1919145.225004,1919145.282186,1919145.293615
0,75,1919145.138585,0.071301,1919145.138657,1919145.292140,1919145.363441
1,68,1919145.055860,0.078866,1919145.062047,1919145.293643,1919145.372508
0,79,1919145.186821,0.085650,1919145.186867,1919145.363467,1919145.449118
1,47,1919144.547942,0.128831,1919144.548027,1919145.372552,1919145.501384
0,36,1919144.222399,0.134291,1919144.222450,1919145.449130,1919145.583421
0,84,1919145.579067,0.002779,1919145.579121,1919145.583433,1919145.586212
0,83,1919145.523867,0.006703,1919145.523913,1919145.586218,1919145.592921
1,62,1919144.852858,0.136671,1919144.852870,1919145.501441,1919145.638113
0,24,1919144.002906,0.149118,1919144.002921,1919145.592926,1919145.742045
0,85,1919145.732061,0.003754,1919145.732117,1919145.742068,1919145.745822
1,70,1919145.063712,0.149891,1919145.076092,1919145.638169,1919145.788060
1,86,1919145.783212,0.128242,1919145.783267,1919145.788131,1919145.916374
0,74,1919145.111845,0.171180,1919145.118071,1919145.745832,1919145.917012
1,92,1919145.904291,0.005248,1919145.904349,1919145.916421,1919145.921669
0,87,1919145.783336,0.009945,1919145.788165,1919145.917048,1919145.926993
